,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,Rocha,-34.4833,-54.3333,64.18,91,98,11.86,UY,1612830454
318,Swanton,41.5887,-83.8911,17.01,73,90,3.44,US,1612830455
319,Victor Harbor,-35.5667,138.6167,71.01,79,14,10.49,AU,1612830457
320,Maniitsoq,65.4167,-52.9,24.28,82,0,10.71,GL,1612830458
321,Sobolevo,54.4299,31.8996,7.92,91,100,12.95,RU,1612829869
322,Makat,47.6469,53.3463,17.51,77,98,8.63,KZ,1612830460
323,Khovd,48.0056,91.6419,12.36,88,42,1.7,MN,1612830417
324,Bambanglipuro,-7.95,110.2833,77.02,87,100,5.37,ID,1612830290
325,Nago,26.5881,127.9761,60.8,67,1,10.36,JP,1612830463
326,Nānākuli,21.3906,-158.1547,80.6,47,1,16.11,US,1612830054
327,Rameswaram,9.2833,79.3,77.52,72,1,19.66,IN,1612830466
328,Stornoway,58.2093,-6.3865,33.8,60,15,10.36,GB,1612830467
329,Pochutla,15.7432,-96.4661,84.2,61,20,11.5,MX,1612830000
330,Kidal,18.4411,1.4078,69.39,22,90,6.33,ML,1612830370
331,Prince Rupert,54.3161,-130.3201,30.2,59,90,3.44,CA,1612830275
332,Sibu,2.3,111.8167,77.0,100,20,1.07,MY,1612830471
333,Sørland,67.667,12.6934,35.38,81,100,11.7,NO,1612829929
334,Natal,-5.795,-35.2094,80.6,78,40,10.36,BR,1612830449
335,Shitanjing,39.2342,106.3439,25.27,76,11,1.32,CN,1612830475
336,Wencheng,33.0559,113.7978,36.88,78,100,1.68,CN,1612830477
337,Néa Alikarnassós,35.3333,25.1667,55.4,82,20,10.36,GR,1612830372
338,Kyren,51.6828,102.1408,20.19,83,85,4.07,RU,1612830479
339,Correntina,-13.3433,-44.6367,68.99,85,91,1.32,BR,1612830481
340,Chicama,-7.8447,-79.1469,69.8,88,94,14.97,PE,1612830189
341,Petropavlovsk-Kamchatskiy,53.0452,158.6483,21.2,68,40,8.95,RU,1612830484
342,Bonavista,48.6499,-53.1147,32.0,100,100,11.5,CA,1612830022
343,Ixtapa,20.7,-105.2,73.99,73,1,11.5,MX,1612830486
344,Paamiut,61.994,-49.6678,29.61,85,81,7.47,GL,1612830168
345,Erdenet,49.0333,104.0833,7.77,83,0,3.87,MN,1612830489
346,Aksu,41.1231,80.2644,30.88,77,100,1.45,CN,1612830490
347,Mount Gambier,-37.8333,140.7667,66.2,52,0,16.11,AU,1612830475
348,Arrondissement de Bastia,42.6667,9.3333,52.0,87,90,3.44,FR,1612830492
349,Batamshinskiy,50.5594,58.2747,-11.2,64,98,20.13,KZ,1612830493
350,Zhalantun,48.0,122.7167,3.22,88,73,3.24,CN,1612830324
351,Mashhad,36.297,59.6062,39.2,100,32,2.55,IR,1612830496
352,Port Blair,11.6667,92.75,74.53,78,98,11.56,IN,1612830497
353,Boca do Acre,-8.7522,-67.3978,75.34,93,80,1.83,BR,1612830498
354,Oyama,36.3,139.8,42.01,38,20,9.22,JP,1612830456
355,Bhatkal,13.9667,74.5667,74.37,44,20,6.55,IN,1612830500
356,Pinili,17.9517,120.5278,80.6,65,20,8.05,PH,1612830502
